,Data e hora protocolo,Equipamento,Valor
7384,29/09/2023 11:25:48.098,JAI3,1
7383,29/09/2023 11:26:10.437,JAI3,0
6947,05/10/2023 09:20:56.681,JAI3,1
6941,05/10/2023 09:22:20.974,JAI3,0
6441,08/10/2023 11:15:24.847,JAI3,1
6438,08/10/2023 11:16:05.478,JAI3,0
6129,10/10/2023 09:58:35.545,JAI3,1
6126,10/10/2023 09:59:12.115,JAI3,0
6109,10/10/2023 11:13:33.770,JAI3,1
6108,10/10/2023 11:13:52.047,JAI3,0
2528,16/10/2023 07:53:06.623,JAI3,1
2527,16/10/2023 07:53:43.193,JAI3,0
2520,16/10/2023 08:33:28.900,JAI3,1
2519,16/10/2023 08:33:55.300,JAI3,0
2518,16/10/2023 08:34:47.101,JAI3,1
2517,16/10/2023 08:34:54.209,JAI3,0
2516,16/10/2023 08:35:05.378,JAI3,1
2515,16/10/2023 08:35:35.855,JAI3,0
2514,16/10/2023 08:35:55.148,JAI3,1
2513,16/10/2023 08:36:19.533,JAI3,0
2503,16/10/2023 09:19:14.165,JAI3,1
2495,16/10/2023 09:20:13.058,JAI3,0
2494,16/10/2023 09:20:17.120,JAI3,1
2493,16/10/2023 09:20:25.259,JAI3,0
2491,16/10/2023 09:21:10.951,JAI3,1
2487,16/10/2023 09:21:32.290,JAI3,0
2485,16/10/2023 09:21:36.352,JAI3,1
2484,16/10/2023 09:21:45.490,JAI3,0
2478,16/10/2023 09:22:42.368,JAI3,1
2473,16/10/2023 09:23:07.753,JAI3,0
2450,16/10/2023 09:42:03.229,JAI3,1
2446,16/10/2023 09:42:47.922,JAI3,0
2444,16/10/2023 09:42:58.076,JAI3,1
2440,16/10/2023 09:43:17.368,JAI3,0
2437,16/10/2023 09:43:40.738,JAI3,1
2436,16/10/2023 09:43:44.799,JAI3,0
2434,16/10/2023 09:44:14.246,JAI3,1
2430,16/10/2023 09:44:53.862,JAI3,0
2428,16/10/2023 09:45:13.154,JAI3,1
2425,16/10/2023 09:45:53.786,JAI3,0
2424,16/10/2023 09:46:04.955,JAI3,1
2423,16/10/2023 09:46:09.016,JAI3,0
2422,16/10/2023 09:46:15.109,JAI3,1
2421,16/10/2023 09:46:58.786,JAI3,0
2414,16/10/2023 09:52:03.467,JAI3,1
2413,16/10/2023 09:53:01.360,JAI3,0
2412,16/10/2023 09:53:13.545,JAI3,1
2411,16/10/2023 09:53:17.606,JAI3,0
2410,16/10/2023 09:53:28.791,JAI3,1
2408,16/10/2023 09:53:32.853,JAI3,0
2406,16/10/2023 09:54:16.515,JAI3,1
2405,16/10/2023 09:54:20.576,JAI3,0
2404,16/10/2023 09:54:29.731,JAI3,1
2403,16/10/2023 09:54:50.038,JAI3,0
2402,16/10/2023 09:55:03.239,JAI3,1
2401,16/10/2023 09:55:18.469,JAI3,0
2389,16/10/2023 09:59:09.026,JAI3,1
2382,16/10/2023 09:59:42.534,JAI3,0
2327,16/10/2023 10:17:00.517,JAI3,1
2326,16/10/2023 10:17:43.179,JAI3,0
2322,16/10/2023 10:18:10.594,JAI3,1
2321,16/10/2023 10:18:15.671,JAI3,0
2320,16/10/2023 10:18:23.795,JAI3,1
2319,16/10/2023 10:19:47.072,JAI3,0
2314,16/10/2023 10:27:04.816,JAI3,1
2313,16/10/2023 10:27:14.970,JAI3,0
