,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan
0,2023-09-29 09:14:15.701,1,2023-09-29 09:16:28.748,0,0 days 00:02:13.047000
1,2023-09-29 09:17:27.657,1,2023-09-29 09:17:40.857,0,0 days 00:00:13.200000
2,2023-09-29 09:17:49.995,1,2023-09-29 09:17:57.103,0,0 days 00:00:07.108000
3,2023-09-29 09:18:10.319,1,2023-09-29 09:19:13.289,0,0 days 00:01:02.970000
4,2023-09-29 09:20:57.890,1,2023-09-29 09:21:56.799,0,0 days 00:00:58.909000
5,2023-09-29 09:23:30.230,1,2023-09-29 09:23:44.461,0,0 days 00:00:14.231000
6,2023-09-29 09:24:14.923,1,2023-09-29 09:25:27.032,0,0 days 00:01:12.109000
7,2023-09-29 10:47:09.471,1,2023-09-29 10:47:54.149,0,0 days 00:00:44.678000
8,2023-09-29 10:48:03.287,1,2023-09-29 10:48:08.364,0,0 days 00:00:05.077000
9,2023-09-29 10:48:45.949,1,2023-09-29 10:48:53.057,0,0 days 00:00:07.108000
10,2023-09-29 10:49:03.211,1,2023-09-29 10:49:06.257,0,0 days 00:00:03.046000
11,2023-09-29 10:49:25.565,1,2023-09-29 10:49:34.704,0,0 days 00:00:09.139000
12,2023-09-29 10:49:59.073,1,2023-09-29 10:50:02.120,0,0 days 00:00:03.047000
13,2023-09-29 10:50:14.304,1,2023-09-29 10:50:21.412,0,0 days 00:00:07.108000
14,2023-09-29 10:50:44.782,1,2023-09-29 10:50:58.997,0,0 days 00:00:14.215000
15,2023-09-29 10:51:03.059,1,2023-09-29 10:51:09.151,0,0 days 00:00:06.092000
16,2023-09-29 10:51:23.367,1,2023-09-29 10:51:38.613,0,0 days 00:00:15.246000
17,2023-09-29 10:51:42.675,1,2023-09-29 10:51:58.921,0,0 days 00:00:16.246000
18,2023-09-29 10:52:22.275,1,2023-09-29 10:52:41.583,0,0 days 00:00:19.308000
19,2023-09-29 10:53:14.076,1,2023-09-29 10:53:23.214,0,0 days 00:00:09.138000
20,2023-09-29 10:53:31.337,1,2023-09-29 10:53:48.615,0,0 days 00:00:17.278000
21,2023-09-29 10:54:22.123,1,2023-09-29 10:54:41.415,0,0 days 00:00:19.292000
22,2023-09-29 10:54:47.507,1,2023-09-29 10:54:55.646,0,0 days 00:00:08.139000
23,2023-09-29 10:54:58.692,1,2023-09-29 10:55:05.800,0,0 days 00:00:07.108000
24,2023-09-29 10:55:46.416,1,2023-09-29 10:55:51.493,0,0 days 00:00:05.077000
25,2023-09-29 10:56:09.786,1,2023-09-29 10:56:13.847,0,0 days 00:00:04.061000
26,2023-09-29 10:57:34.079,1,2023-09-29 10:58:38.064,0,0 days 00:01:03.985000
27,2023-09-29 11:08:33.225,1,2023-09-29 11:08:58.610,0,0 days 00:00:25.385000
28,2023-09-29 11:17:18.308,1,2023-09-29 11:18:42.602,0,0 days 00:01:24.294000
29,2023-09-29 11:20:47.526,1,2023-09-29 11:20:51.588,0,0 days 00:00:04.062000
30,2023-09-29 11:23:58.467,1,2023-09-29 11:24:29.944,0,0 days 00:00:31.477000
31,2023-09-29 12:38:45.521,1,2023-09-29 12:39:14.967,0,0 days 00:00:29.446000
32,2023-09-30 09:38:06.465,1,2023-09-30 09:38:10.527,0,0 days 00:00:04.062000
33,2023-09-30 09:44:21.239,1,2023-09-30 09:47:33.195,0,0 days 00:03:11.956000
34,2023-09-30 09:47:43.349,1,2023-09-30 09:48:07.718,0,0 days 00:00:24.369000
35,2023-09-30 09:48:40.227,1,2023-09-30 09:51:42.029,0,0 days 00:03:01.802000
36,2023-09-30 09:52:42.968,1,2023-09-30 09:52:54.137,0,0 days 00:00:11.169000
37,2023-09-30 09:52:59.214,1,2023-09-30 09:53:10.384,0,0 days 00:00:11.170000
38,2023-09-30 09:53:13.430,1,2023-09-30 09:54:06.246,0,0 days 00:00:52.816000
39,2023-09-30 09:54:24.523,1,2023-09-30 09:56:39.601,0,0 days 00:02:15.078000
40,2023-09-30 10:01:17.882,1,2023-09-30 10:01:22.959,0,0 days 00:00:05.077000
41,2023-09-30 10:03:24.837,1,2023-09-30 10:03:33.975,0,0 days 00:00:09.138000
