,Data e hora protocolo_Atuado,Valor_Atuado,Data e hora protocolo_Desatuado,Valor_Desatuado,Timespan,Timespan_sec,Category
0,2023-09-29 10:47:31.810,1,2023-09-29 10:49:17.427,0,0 days 00:01:45.617000,105.617,1-2 min
1,2023-09-29 10:50:49.859,1,2023-09-29 10:52:08.060,0,0 days 00:01:18.201000,78.201,1-2 min
2,2023-09-29 10:52:42.599,1,2023-09-29 10:53:15.091,0,0 days 00:00:32.492000,32.492,0-1 min
3,2023-09-29 11:11:30.966,1,2023-09-29 11:12:17.674,0,0 days 00:00:46.708000,46.708,0-1 min
4,2023-09-29 11:29:00.117,1,2023-09-29 11:30:06.133,0,0 days 00:01:06.016000,66.016,1-2 min
5,2023-10-05 09:12:46.105,1,2023-10-05 09:13:28.752,0,0 days 00:00:42.647000,42.647,0-1 min
6,2023-10-05 09:19:02.894,1,2023-10-05 09:19:54.695,0,0 days 00:00:51.801000,51.801,0-1 min
7,2023-10-05 09:21:50.481,1,2023-10-05 09:22:11.805,0,0 days 00:00:21.324000,21.324,0-1 min
8,2023-10-05 09:22:57.513,1,2023-10-05 09:23:34.083,0,0 days 00:00:36.570000,36.57,0-1 min
9,2023-10-05 09:23:45.252,1,2023-10-05 09:23:48.298,0,0 days 00:00:03.046000,3.046,0-1 min
10,2023-10-05 09:23:52.360,1,2023-10-05 09:23:55.406,0,0 days 00:00:03.046000,3.046,0-1 min
11,2023-10-05 09:24:47.207,1,2023-10-05 09:24:56.345,0,0 days 00:00:09.138000,9.138,0-1 min
12,2023-10-05 09:25:20.715,1,2023-10-05 09:25:25.792,0,0 days 00:00:05.077000,5.077,0-1 min
13,2023-10-05 09:25:29.853,1,2023-10-05 09:25:34.930,0,0 days 00:00:05.077000,5.077,0-1 min
14,2023-10-05 09:25:55.254,1,2023-10-05 09:27:00.254,0,0 days 00:01:05,65.0,1-2 min
15,2023-10-05 09:30:32.519,1,2023-10-05 09:31:56.812,0,0 days 00:01:24.293000,84.293,1-2 min
16,2023-10-05 10:01:25.034,1,2023-10-05 10:01:58.542,0,0 days 00:00:33.508000,33.508,0-1 min
