Data e hora protocolo;Data e hora sistema;Regional;Subestação;Vão;Equipamento;Area 1;Area 2;Estado;Descrição;Tensão;Setor;Categoria.;Ponto;Empresa;Severidade;Operador;Reconhecimento;ConditionActive;EventType;Alarme urgente;FullAlarmSourceName;Valor;Screens
17/10/2023 16:47:39.024;17/10/2023 16:47;;SE-JAI;PPC;JAIGERAL;;;Desabilitado;Controle auxiliar de FP sobre o modo de tensão;0;;;DHAB_COMP;Canadian;Baixa;System;Não;1;Event;0;[SE-JAI].PPC.JAIGERAL.DHAB_COMP.AlarmeDiscreto;0;
17/10/2023 13:56:46.220;17/10/2023 13:56;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:56:36.066;17/10/2023 13:56;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:55:55.435;17/10/2023 13:55;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:55:51.373;17/10/2023 13:55;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:55:47.312;17/10/2023 13:55;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:55:43.250;17/10/2023 13:55;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:55:39.189;17/10/2023 13:55;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:55:21.911;17/10/2023 13:55;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:55:03.634;17/10/2023 13:55;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:54:43.326;17/10/2023 13:54;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:53:45.433;17/10/2023 13:53;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:53:38.326;17/10/2023 13:53;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:52:37.386;17/10/2023 13:52;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:52:34.340;17/10/2023 13:52;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:52:24.186;17/10/2023 13:52;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:52:16.063;17/10/2023 13:52;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:51:53.709;17/10/2023 13:51;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:51:47.617;17/10/2023 13:51;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:51:38.478;17/10/2023 13:51;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:50:59.877;17/10/2023 13:51;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:50:51.754;17/10/2023 13:50;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:50:48.708;17/10/2023 13:50;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:50:40.585;17/10/2023 13:50;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:49:22.384;17/10/2023 13:49;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:49:10.199;17/10/2023 13:49;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:48:26.522;17/10/2023 13:48;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:48:07.229;17/10/2023 13:48;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
17/10/2023 13:47:46.921;17/10/2023 13:47;;SE-JAI;PPC;JAI4;;;Atuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;1;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;1;
17/10/2023 13:47:39.798;17/10/2023 13:47;;SE-JAI;PPC;JAI4;;;Desatuado;Potência máxima ultrapassada;0;;;PPC_P_MaxLimit;Canadian;;;Não;0;Condition;0;[SE-JAI].PPC.JAI4.PPC_P_MaxLimit.AlarmeDiscreto;0;
